IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
I19490	BA-S	M	2750.0	Bulgaria_EIA	48244	0.015273	0.622951	0.361776
I19494	EF	M	2750.0	Bulgaria_EIA	33750	0.052390	0.692022	0.255589
I19497	EF	F	2750.0	Bulgaria_EIA	26390	0.054249	0.635736	0.310015
I20180	BA-S	M	2750.0	Bulgaria_EIA	788152	0.021897	0.683389	0.294714
I20181	BA-S	M	2750.0	Bulgaria_EIA	840352	0.025246	0.644223	0.330531
I20183	BA-S	M	2750.0	Bulgaria_EIA	792883	0.051057	0.630074	0.318869
I20184	EF	F	2750.0	Bulgaria_EIA	815708	0.017651	0.705858	0.276491
I20185	BA-S	M	2750.0	Bulgaria_EIA	864002	0.020433	0.664361	0.315206
I20186	BA-S	M	2750.0	Bulgaria_EIA	858693	0.010274	0.686253	0.303473
I15848	BA-S	F	2850.0	Bulgaria_EIA_lc	8540	0.033804	0.673952	0.292244
I19495	BA-S	M	2750.0	Bulgaria_EIA_lc	14247	0.025409	0.675172	0.299419
I5769	BA-S	F	2592.0	Bulgaria_IA	703916	0.034142	0.654530	0.311328
I18792	BA-S	M	1550.0	Bulgaria_LateAntiquity	133967	0.013461	0.670248	0.316291
I19500	BA-S	M	2200.0	Bulgaria_LIA	417100	0.009161	0.586517	0.404321
I1113	BA-S	F	7550.0	Bulgaria_MalakPreslavets_N	235592	0.324661	0.601272	0.074067
I1295	EF	M	7550.0	Bulgaria_MalakPreslavets_N	150402	0.208825	0.725284	0.065891
I1297	EF-ADMIX	F	7550.0	Bulgaria_MalakPreslavets_N	118464	0.228611	0.709295	0.062094
I1109	EF	F	7550.0	Bulgaria_MalakPreslavets_N_oHighEEF	254410	0.101392	0.827373	0.071235
I3879	EF	M	7550.0	Bulgaria_MalakPreslavets_N_oHighEEF	153526	0.012487	0.953204	0.034309
I2216	EF	F	7839.0	Bulgaria_MalakPreslavets_N_oHighEEF	62788	0.072605	0.868541	0.058854
I1108	BA-S	M	7550.0	Bulgaria_MalakPreslavets_N_oLowEEF	269090	0.322216	0.583853	0.093932
I6354	BA-S	M	7550.0	Bulgaria_MalakPreslavets_N_oLowEEF	49324	0.351025	0.503512	0.145463
I0700	BA-S	M	7550.0	Bulgaria_MalakPreslavets_N_oLowEEF_1d.rel.I1108	359115	0.331424	0.552290	0.116286
I1296	BA-S	M	7634.0	Bulgaria_MalakPreslavets_N	52479	0.235832	0.696918	0.067249
I2215	BA-S	M	7976.0	Bulgaria_MalakPreslavets_N	84456	0.200780	0.638186	0.161034
I10548	BA-S	F	825.0	Bulgaria_Medieval	820428	0.096983	0.388427	0.514589
I11134	EF	F	7725.0	Bulgaria_N	728158	0.011279	0.894959	0.093761
I11135	EF	M	7725.0	Bulgaria_N	750487	0.019861	0.890237	0.089902
I11270	EF	M	7725.0	Bulgaria_N	320215	0.027698	0.900079	0.072223
I2521	EF	M	7503.0	Bulgaria_N	786781	0.012237	0.906376	0.081387
I2528	EF-ADMIX	F	7641.0	Bulgaria_N_lc	3664	0.004706	0.953513	0.041781
I17981	EF	F	7725.0	Bulgaria_N_o	824105	0.070389	0.807785	0.121826
I0706	EF	M	7899.0	Bulgaria_N_oEEF	250278	0.180799	0.745729	0.073472
I0698	EF	M	7900.0	Bulgaria_N	712964	0.038911	0.915066	0.046023
I0704	EF	F	7892.0	Bulgaria_N	97093	0.017300	0.924559	0.058141
I1298	EF	F	7883.0	Bulgaria_N	95777	0.063899	0.911441	0.024660
I2529	EF	M	7610.0	Bulgaria_N	617150	0.032997	0.856258	0.110745
ANI160	EF	M	6533.0	Bulgaria_Varna_C	60856	0.105278	0.743951	0.150770
ANI159-ANI181	EF	M	6566.0	Bulgaria_Varna_C	412706	0.127397	0.759807	0.112796
ANI152	BA-S	M	6462.0	Bulgaria_Varna_C_o	25428	0.089207	0.686108	0.224684
ANI153	BA-S	M	6434.0	Bulgaria_Varna_C_o2	22625	0.090456	0.768889	0.140655
NA06984.SG	CEU.SG	M	0	CEU.SG	1144596	0.112540	0.276703	0.610758
NA06985.SG	CEU.SG	F	0	CEU.SG	1149735	0.081255	0.231442	0.687303
NA06986.SG	CEU.SG	M	0	CEU.SG	1149312	0.113930	0.225601	0.660469
NA06989.SG	CEU.SG	F	0	CEU.SG	1121324	0.121885	0.223701	0.654414
NA06994.SG	CEU.SG	M	0	CEU.SG	1127461	0.081819	0.232940	0.685241
NA07000.SG	CEU.SG	F	0	CEU.SG	1149623	0.120150	0.243735	0.636115
NA07037.SG	CEU.SG	F	0	CEU.SG	1148762	0.114447	0.259199	0.626355
NA07048.SG	CEU.SG	M	0	CEU.SG	1099702	0.079426	0.231917	0.688658
NA07051.SG	CEU.SG	M	0	CEU.SG	1015304	0.096457	0.211184	0.692360
NA07056.SG	CEU.SG	F	0	CEU.SG	1134138	0.113474	0.253268	0.633258
NA07347.SG	CEU.SG	M	0	CEU.SG	1148977	0.082795	0.282554	0.634652
NA07357.SG	CEU.SG	M	0	CEU.SG	1142624	0.108117	0.273981	0.617902
NA10847.SG	CEU.SG	F	0	CEU.SG	1149857	0.108172	0.249784	0.642043
NA10851.SG	CEU.SG	M	0	CEU.SG	1136639	0.120957	0.234716	0.644327
NA11829.SG	CEU.SG	M	0	CEU.SG	1147598	0.128582	0.222141	0.649277
NA11830.SG	CEU.SG	F	0	CEU.SG	979266	0.090498	0.206373	0.703129
NA11831.SG	CEU.SG	M	0	CEU.SG	1117650	0.074519	0.258613	0.666868
NA11832.SG	CEU.SG	F	0	CEU.SG	1149861	0.086793	0.292656	0.620551
NA11840.SG	CEU.SG	F	0	CEU.SG	1146082	0.110099	0.217076	0.672825
NA11843.SG	CEU.SG	M	0	CEU.SG	1138016	0.118266	0.238688	0.643046
NA11881.SG	CEU.SG	M	0	CEU.SG	1147539	0.097013	0.241918	0.661069
NA11892.SG	CEU.SG	F	0	CEU.SG	1147043	0.106422	0.272480	0.621098
NA11893.SG	CEU.SG	M	0	CEU.SG	1139735	0.108162	0.266235	0.625603
NA11894.SG	CEU.SG	F	0	CEU.SG	1138415	0.112167	0.246322	0.641511
NA11918.SG	CEU.SG	F	0	CEU.SG	1145779	0.089741	0.260640	0.649619
NA11919.SG	CEU.SG	M	0	CEU.SG	1148794	0.093180	0.239095	0.667725
NA11920.SG	CEU.SG	F	0	CEU.SG	1148405	0.106920	0.248760	0.644320
NA11930.SG	CEU.SG	M	0	CEU.SG	1146527	0.098281	0.266854	0.634865
NA11931.SG	CEU.SG	F	0	CEU.SG	1136376	0.114467	0.249753	0.635780
NA11932.SG	CEU.SG	M	0	CEU.SG	1142411	0.108685	0.281307	0.610008
NA11933.SG	CEU.SG	F	0	CEU.SG	1144231	0.104867	0.265077	0.630056
NA11992.SG	CEU.SG	M	0	CEU.SG	1131347	0.069425	0.245668	0.684907
NA11994.SG	CEU.SG	M	0	CEU.SG	1149300	0.090502	0.242139	0.667359
NA11995.SG	CEU.SG	F	0	CEU.SG	1119754	0.093069	0.239330	0.667601
NA12003.SG	CEU.SG	M	0	CEU.SG	1131806	0.126113	0.176687	0.697200
NA12004.SG	CEU.SG	F	0	CEU.SG	1149225	0.113241	0.283347	0.603412
NA12005.SG	CEU.SG	M	0	CEU.SG	1149648	0.089032	0.252954	0.658015
NA12006.SG	CEU.SG	F	0	CEU.SG	1149229	0.098571	0.246808	0.654621
NA12043.SG	CEU.SG	M	0	CEU.SG	1136765	0.125226	0.256321	0.618453
NA12044.SG	CEU.SG	F	0	CEU.SG	1149362	0.094568	0.226430	0.679002
NA12045.SG	CEU.SG	M	0	CEU.SG	1148646	0.106327	0.277965	0.615707
NA12046.SG	CEU.SG	F	0	CEU.SG	1145610	0.095777	0.252125	0.652098
NA12058.SG	CEU.SG	F	0	CEU.SG	1144911	0.104942	0.242559	0.652500
NA12144.SG	CEU.SG	M	0	CEU.SG	1149507	0.074435	0.306718	0.618847
NA12154.SG	CEU.SG	M	0	CEU.SG	1138143	0.081645	0.213241	0.705115
NA12155.SG	CEU.SG	M	0	CEU.SG	1146750	0.098798	0.228809	0.672394
NA12156.SG	CEU.SG	F	0	CEU.SG	1138839	0.101197	0.225994	0.672808
NA12234.SG	CEU.SG	F	0	CEU.SG	1141822	0.101568	0.266517	0.631915
NA12249.SG	CEU.SG	F	0	CEU.SG	1079458	0.111019	0.185242	0.703740
NA12272.SG	CEU.SG	M	0	CEU.SG	1057914	0.095000	0.298208	0.606792
NA12273.SG	CEU.SG	F	0	CEU.SG	1143007	0.108002	0.279722	0.612276
NA12275.SG	CEU.SG	F	0	CEU.SG	1047706	0.088904	0.260156	0.650940
NA12282.SG	CEU.SG	M	0	CEU.SG	1145155	0.087179	0.278578	0.634243
NA12283.SG	CEU.SG	F	0	CEU.SG	1144405	0.077345	0.279034	0.643621
NA12286.SG	CEU.SG	M	0	CEU.SG	1145592	0.118075	0.262011	0.619914
NA12287.SG	CEU.SG	F	0	CEU.SG	1133930	0.113962	0.263955	0.622083
NA12340.SG	CEU.SG	M	0	CEU.SG	1137377	0.087226	0.238802	0.673972
NA12341.SG	CEU.SG	F	0	CEU.SG	1055795	0.092015	0.209694	0.698290
NA12342.SG	CEU.SG	M	0	CEU.SG	1148390	0.083810	0.216708	0.699482
NA12347.SG	CEU.SG	M	0	CEU.SG	1147607	0.127090	0.231544	0.641366
NA12348.SG	CEU.SG	F	0	CEU.SG	1147552	0.110946	0.226055	0.662999
NA12383.SG	CEU.SG	F	0	CEU.SG	1148346	0.104585	0.293954	0.601462
NA12399.SG	CEU.SG	M	0	CEU.SG	1102717	0.102715	0.239737	0.657548
NA12400.SG	CEU.SG	F	0	CEU.SG	1089284	0.089364	0.251427	0.659209
NA12413.SG	CEU.SG	M	0	CEU.SG	1145741	0.102321	0.301309	0.596370
NA12414.SG	CEU.SG	F	0	CEU.SG	1147783	0.092312	0.224469	0.683218
NA12489.SG	CEU.SG	F	0	CEU.SG	1147570	0.118272	0.247506	0.634221
NA12546.SG	CEU.SG	M	0	CEU.SG	1147927	0.089371	0.267490	0.643139
NA12716.SG	CEU.SG	M	0	CEU.SG	1141944	0.118887	0.231068	0.650045
NA12717.SG	CEU.SG	F	0	CEU.SG	1144375	0.102672	0.245171	0.652157
NA12718.SG	CEU.SG	F	0	CEU.SG	1084241	0.091336	0.250051	0.658613
NA12748.SG	CEU.SG	M	0	CEU.SG	1145284	0.111241	0.242072	0.646688
NA12749.SG	CEU.SG	F	0	CEU.SG	1148583	0.106174	0.256960	0.636866
NA12750.SG	CEU.SG	M	0	CEU.SG	1149105	0.119206	0.280375	0.600419
NA12751.SG	CEU.SG	F	0	CEU.SG	1146730	0.124309	0.212910	0.662781
NA12760.SG	CEU.SG	M	0	CEU.SG	1147130	0.094492	0.264501	0.641007
NA12761.SG	CEU.SG	F	0	CEU.SG	1143941	0.107744	0.239199	0.653057
NA12762.SG	CEU.SG	M	0	CEU.SG	1144770	0.098524	0.262927	0.638549
NA12763.SG	CEU.SG	F	0	CEU.SG	1147470	0.103625	0.257242	0.639132
NA12775.SG	CEU.SG	M	0	CEU.SG	1149052	0.100100	0.244214	0.655686
NA12776.SG	CEU.SG	F	0	CEU.SG	1139080	0.132621	0.225704	0.641675
NA12777.SG	CEU.SG	M	0	CEU.SG	1148657	0.094036	0.266638	0.639326
NA12778.SG	CEU.SG	F	0	CEU.SG	1147300	0.114075	0.257391	0.628533
NA12812.SG	CEU.SG	M	0	CEU.SG	1147305	0.115479	0.258277	0.626245
NA12813.SG	CEU.SG	F	0	CEU.SG	1129213	0.072983	0.263911	0.663106
NA12814.SG	CEU.SG	M	0	CEU.SG	1137191	0.097619	0.235209	0.667173
NA12815.SG	CEU.SG	F	0	CEU.SG	1141838	0.120353	0.229082	0.650565
NA12827.SG	CEU.SG	M	0	CEU.SG	1145770	0.107306	0.226126	0.666567
NA12828.SG	CEU.SG	F	0	CEU.SG	1135948	0.105372	0.276581	0.618047
NA12829.SG	CEU.SG	M	0	CEU.SG	1142646	0.113589	0.281780	0.604631
NA12830.SG	CEU.SG	F	0	CEU.SG	1144686	0.090378	0.258880	0.650742
NA12842.SG	CEU.SG	M	0	CEU.SG	1141525	0.097714	0.233118	0.669169
NA12843.SG	CEU.SG	F	0	CEU.SG	1144015	0.096954	0.207866	0.695180
NA12872.SG	CEU.SG	M	0	CEU.SG	1147669	0.107772	0.243739	0.648489
NA12873.SG	CEU.SG	F	0	CEU.SG	1141951	0.114170	0.249694	0.636136
NA12874.SG	CEU.SG	M	0	CEU.SG	1143098	0.108790	0.258501	0.632709
NA12878.SG	CEU.SG	F	0	CEU.SG	1128110	0.092053	0.228897	0.679050
NA12889.SG	CEU.SG	M	0	CEU.SG	1144998	0.067479	0.273075	0.659447
NA12890.SG	CEU.SG	F	0	CEU.SG	1143522	0.109054	0.222825	0.668121
I16435_d	EF-ADMIX	U	5531.0	ChannelIslands_C_lc	3694	0.164786	0.709650	0.125564
I16436_d	EF-ADMIX	M	5814.0	ChannelIslands_C_lc	6467	0.095772	0.904218	0.000010
I26628	BA-N	F	2549.0	ChannelIslands_EIA	214510	0.150322	0.334449	0.515228
I26630	BA-N	M	2483.0	ChannelIslands_EIA	16097	0.160283	0.350663	0.489054
I16430	BA-N	F	2084.0	ChannelIslands_IA	350480	0.195896	0.399145	0.404959
I16505	BA-N	F	2058.0	ChannelIslands_IA	181296	0.191644	0.335964	0.472392
I26629	BA-N	F	1990.0	ChannelIslands_LIA_LaTene	118586	0.181545	0.333211	0.485245
I16425	EF-ADMIX	F	4929.0	ChannelIslands_LN	501384	0.318266	0.681724	0.000010
I16429	EF-ADMIX	M	4935.0	ChannelIslands_LN	70334	0.338646	0.597447	0.063906
I16438	EF-ADMIX	M	4384.0	ChannelIslands_LN	196535	0.287944	0.694449	0.017608
I16437	EF-ADMIX	F	6091.0	ChannelIslands_MN	171083	0.158065	0.833596	0.008339
I16444	EF-ADMIX	M	6048.0	ChannelIslands_MN	718752	0.174131	0.825859	0.000010
I16427	EF-ADMIX	M	6057.0	ChannelIslands_MN_o	52160	0.148966	0.838022	0.013012
I18712	BA-S	M	3600.0	Croatia_BA	589109	0.100959	0.487409	0.411632
I18748	BA-S	M	3700.0	Croatia_BA	534609	0.073998	0.516516	0.409486
I20502	EF	M	5950.0	Croatia_C	774410	0.022615	0.888588	0.088797
I10045	EF	M	6050.0	Croatia_C_Lasinja	804710	0.071229	0.877208	0.051563
I10046	EF	M	6050.0	Croatia_C_Lasinja	672605	0.063437	0.900331	0.036232
I10047	EF	M	6050.0	Croatia_C_Lasinja	752618	0.095694	0.884236	0.020070
I10048	EF	M	6050.0	Croatia_C_Lasinja	789757	0.072564	0.877863	0.049573
I10049	EF	M	6050.0	Croatia_C_Lasinja	820132	0.089948	0.876272	0.033780
I10050	EF	F	6050.0	Croatia_C_Lasinja	521320	0.093359	0.853543	0.053098
I10052	EF	F	6095.0	Croatia_C_Lasinja	164394	0.073370	0.858461	0.068169
I10053	EF	M	6050.0	Croatia_C_Lasinja	622345	0.100234	0.881652	0.018113
I10054	EF	M	6050.0	Croatia_C_Lasinja	827663	0.097632	0.887987	0.014381
I10056	EF	F	6050.0	Croatia_C_Lasinja	708311	0.091804	0.871980	0.036216
I10057	EF	F	6050.0	Croatia_C_Lasinja	757554	0.079517	0.874428	0.046055
I10062	EF	M	6050.0	Croatia_C_Lasinja	762553	0.095294	0.854778	0.049928
I10063	EF	M	6050.0	Croatia_C_Lasinja	740935	0.075064	0.896154	0.028782
I10064	EF	F	6050.0	Croatia_C_Lasinja	641384	0.095532	0.880789	0.023679
I10065	EF	F	6050.0	Croatia_C_Lasinja	769062	0.089535	0.889329	0.021136
I10069	EF	F	6050.0	Croatia_C_Lasinja	744312	0.103672	0.844762	0.051566
I10070	EF	F	6050.0	Croatia_C_Lasinja	825996	0.108452	0.870422	0.021126
I10071	EF	F	6050.0	Croatia_C_Lasinja	386023	0.127310	0.840805	0.031885
I10072	EF	M	6050.0	Croatia_C_Lasinja	772906	0.072544	0.873436	0.054020
I10271	EF	M	6050.0	Croatia_C_Lasinja	624283	0.096593	0.862690	0.040718
I10272	EF	F	6023.0	Croatia_C_Lasinja	277642	0.123249	0.855116	0.021635
I10273	EF	F	6050.0	Croatia_C_Lasinja	623965	0.073942	0.899634	0.026424
I10274	EF	M	6050.0	Croatia_C_Lasinja	139006	0.097787	0.883971	0.018241
I10275	EF	F	6050.0	Croatia_C_Lasinja	94061	0.082369	0.878434	0.039197
I10291	EF	F	6050.0	Croatia_C_Lasinja	233140	0.085301	0.868444	0.046255
I10293	EF	F	6093.0	Croatia_C_Lasinja	784486	0.102307	0.853694	0.043999
I10294	EF	M	6050.0	Croatia_C_Lasinja	858333	0.091587	0.887544	0.020870
I10295	EF	M	6050.0	Croatia_C_Lasinja	18639	0.011373	0.907670	0.080957
I10297	EF	F	6050.0	Croatia_C_Lasinja	895998	0.084815	0.887014	0.028171
I10299	EF	F	6050.0	Croatia_C_Lasinja	561151	0.083950	0.886038	0.030012
I10303	EF	F	6050.0	Croatia_C_Lasinja	681530	0.085785	0.833844	0.080371
I10074	EF	F	6050.0	Croatia_C_Lasinja_daughter.I10068.sister.I10070	44537	0.037204	0.871306	0.091490
I10068	EF	M	6050.0	Croatia_C_Lasinja_father.I10070.I10074	788697	0.094133	0.887230	0.018637
I10061	EF	M	6050.0	Croatia_C_Lasinja_father.I10294	683405	0.081511	0.891435	0.027054
I10292	EF	M	6050.0	Croatia_C_Lasinja_lc	11514	0.101737	0.861513	0.036751
I23904	BA-S	F	2642.0	Croatia_EIA	807776	0.074326	0.493566	0.432108
I23911	BA-S	M	2765.0	Croatia_EIA	802764	0.096507	0.505515	0.397978
I23995	BA-S	M	2729.0	Croatia_EIA	793384	0.109871	0.472460	0.417669
I23996	BA-S	F	2744.0	Croatia_EIA	752396	0.091888	0.505391	0.402721
I24638	BA-S	M	2658.0	Croatia_EIA	779342	0.103437	0.479565	0.416998
I24639	BA-S	M	2658.0	Croatia_EIA	787553	0.103156	0.463344	0.433501
I24879	BA-N	F	2599.0	Croatia_EIA	807701	0.120811	0.440488	0.438700
I24882	BA-S	M	2599.0	Croatia_EIA	817578	0.109632	0.487519	0.402849
I5723	BA-S	M	2374.0	Croatia_EIA	701019	0.145121	0.512086	0.342794
I5724	BA-S	M	2232.0	Croatia_EIA	675235	0.155115	0.493301	0.351584
I5725	BA-S	M	2554.0	Croatia_EIA	623346	0.154604	0.487903	0.357493
I5726	BA-S	F	2407.0	Croatia_EIA	622601	0.132713	0.499944	0.367343
I5727	BA-N	F	2586.0	Croatia_EIA	614761	0.206533	0.414883	0.378584
I5728	BA-S	F	2224.0	Croatia_EIA	619639	0.161796	0.517928	0.320276
I5729	BA-S	M	2920.0	Croatia_EIA	641717	0.141188	0.504390	0.354422
I3313	BA-S	F	2722.0	Croatia_EIA_mother.I26742	795860	0.076248	0.501912	0.421841
I5071	EF	F	7582.0	Croatia_EN_Impressa	495848	0.046727	0.916044	0.037229
I5072	EF	M	7545.0	Croatia_EN_Impressa	629427	0.030601	0.935429	0.033971
I3499	BA-S	M	4718.0	Croatia_LateC_EBA_Vucedol	413821	0.080303	0.527938	0.391758
I24345	BA-N	M	2900.0	Croatia_LBA_EIA	52173	0.075199	0.446915	0.477886
I26742	BA-S	M	2650.0	Croatia_LBA_EIA	925712	0.075821	0.526392	0.397787
I24344	BA-N	F	2900.0	Croatia_LBA_EIA_lc	10699	0.098716	0.376546	0.524738
I18831	BA-S	M	2201.0	Croatia_LIA	675164	0.091346	0.469340	0.439313
I18830	BA-S	M	2201.0	Croatia_LIA_brother.I18831	629724	0.088524	0.454784	0.456692
I19017	BA-S	F	3750.0	Croatia_MBA_Cetina	111390	0.046331	0.485431	0.468238
I24342	BA-S	M	3410.0	Croatia_MBA	820306	0.156911	0.464250	0.378839
I26773	BA-S	F	3325.0	Croatia_MBA	728296	0.096820	0.460394	0.442786
I26774	BA-S	F	3325.0	Croatia_MBA	827364	0.110877	0.467701	0.421423
