IID	Group	Sex	Date	Population	NumSNPs	k1	k2
I3443	AncSAm	F	9301.0	Belize_9400BP	441420	0.999990	0.000010
IO2	AncSAm	U	985.0	Bolivia_MH_Iroco_1050BP	600951	0.999990	0.000010
MIS3	AncSAm	U	1120.0	Bolivia_MH_Miraflores	816355	0.999990	0.000010
MIS5	AncSAm	U	1090.0	Bolivia_MH_Miraflores	482868	0.999990	0.000010
I0976	AncSAm	M	900.0	Bolivia_MH_Tiwanaku	152214	0.999990	0.000010
I0977	AncSAm	F	990.0	Bolivia_MH_Tiwanaku	62669	0.999990	0.000010
I0978	AncSAm	M	865.0	Bolivia_MH_Tiwanaku	205319	0.999990	0.000010
I0979	AncSAm	M	1125.0	Bolivia_MH_Tiwanaku	23181	0.999990	0.000010
MIS7	AncSAm	U	1100.0	Bolivia_MiraFlores_MH	717724	0.999990	0.000010
I2539	AncSAm	F	990.0	Chile_CaletaHuelen_MH_1100BP	63370	0.999990	0.000010
I2540	AncSAm	M	1000.0	Chile_CaletaHuelen_MH_1100BP	422416	0.999990	0.000010
I1752	AncSAm	M	595.0	Chile_Conchali_700BP	773325	0.999990	0.000010
I1754	AncSAm	M	825.0	Chile_Conchali_700BP	830833	0.999990	0.000010
I17497	AncSAm	M	603.0	Chile_LIP_Pukara_600BP	156790	0.999990	0.000010
I14009	AncSAm	M	750.0	Chile_LIP_Pukara_700BP	192147	0.999990	0.000010
I11974	AncSAm	M	11885.0	Chile_LosRieles_12000BP	811729	0.999990	0.000010
I1753	AncSAm	M	5095.0	Chile_LosRieles_5100BP	791932	0.999990	0.000010
I8576	AncSAm	M	100.0	Chile_NorthTierradelFuego_Selknam_100BP	674483	0.999990	0.000010
I2537	AncSAm	M	645.0	Chile_PicaOcho_700BP	514599	0.999990	0.000010
SA5832_noUDG.SG	AncSAm	F	7293.0	Chile_PuntaSantaAna_7300BP.SG	795337	0.999990	0.000010
I8575	AncSAm	M	459.0	Chile_SouthernContinent_Aonikenk_400BP	504429	0.999990	0.000010
AM72_noUDG.SG	AncSAm	F	100.0	Chile_StraitOfMagellan_Kaweskar_100BP_lc.SG	3582	0.999990	0.000010
AM74_noUDG.SG	AncSAm	M	100.0	Chile_StraitOfMagellan_Kaweskar_100BP_o.SG	374509	0.974047	0.025953
AM66_noUDG.SG	AncSAm	M	100.0	Chile_StraitOfMagellan_Kaweskar_100BP.SG	22121	0.999990	0.000010
AM71_noUDG.SG	AncSAm	F	100.0	Chile_StraitOfMagellan_Kaweskar_100BP.SG	98603	0.999990	0.000010
AM73_noUDG.SG	AncSAm	F	100.0	Chile_StraitOfMagellan_Kaweskar_100BP.SG	16636	0.999990	0.000010
A460_noUDG.SG	AncSAm	M	5130.0	Chile_WesternArchipelago_Ayayema_5100BP.SG	1148450	0.999990	0.000010
IPK13a_noUDG.SG	AncSAm	M	1211.0	Chile_WesternArchipelago_Kaweskar_1200BP.SG	1036845	0.999990	0.000010
IPK12_noUDG.SG	AncSAm	F	858.0	Chile_WesternArchipelago_Kaweskar_800BP.SG	1143943	0.999990	0.000010
IPY08b_noUDG.SG	AncSAm	M	1000.0	Chile_Yamana_BeagleChannel_800BP.SG	902870	0.999990	0.000010
IPY10_noUDG.SG	AncSAm	M	775.0	Chile_Yamana_BeagleChannel_800BP.SG	1146591	0.999990	0.000010
HG01500.SG	IBS.SG	M	0	IBS.SG	1098946	0.000010	0.999990
HG01501.SG	IBS.SG	F	0	IBS.SG	1094174	0.000010	0.999990
HG01503.SG	IBS.SG	M	0	IBS.SG	1090124	0.000010	0.999990
HG01504.SG	IBS.SG	F	0	IBS.SG	1126227	0.000010	0.999990
HG01506.SG	IBS.SG	M	0	IBS.SG	1125364	0.000010	0.999990
HG01507.SG	IBS.SG	F	0	IBS.SG	1110504	0.000010	0.999990
HG01509.SG	IBS.SG	M	0	IBS.SG	1135908	0.000010	0.999990
HG01510.SG	IBS.SG	F	0	IBS.SG	1088754	0.000010	0.999990
HG01512.SG	IBS.SG	M	0	IBS.SG	1115996	0.000010	0.999990
HG01513.SG	IBS.SG	F	0	IBS.SG	1121125	0.000010	0.999990
HG01515.SG	IBS.SG	M	0	IBS.SG	1095928	0.000010	0.999990
HG01516.SG	IBS.SG	F	0	IBS.SG	1117147	0.000010	0.999990
HG01518.SG	IBS.SG	M	0	IBS.SG	1111390	0.000010	0.999990
HG01519.SG	IBS.SG	F	0	IBS.SG	1104810	0.000010	0.999990
HG01521.SG	IBS.SG	M	0	IBS.SG	1107876	0.000010	0.999990
HG01522.SG	IBS.SG	F	0	IBS.SG	1140021	0.000010	0.999990
HG01524.SG	IBS.SG	M	0	IBS.SG	1145400	0.000010	0.999990
HG01525.SG	IBS.SG	F	0	IBS.SG	1143192	0.000010	0.999990
HG01527.SG	IBS.SG	M	0	IBS.SG	1145763	0.000010	0.999990
HG01528.SG	IBS.SG	F	0	IBS.SG	1139840	0.000010	0.999990
HG01530.SG	IBS.SG	M	0	IBS.SG	1144913	0.000010	0.999990
HG01531.SG	IBS.SG	F	0	IBS.SG	1142061	0.000010	0.999990
HG01536.SG	IBS.SG	M	0	IBS.SG	1145535	0.000010	0.999990
HG01537.SG	IBS.SG	F	0	IBS.SG	1143995	0.000010	0.999990
HG01602.SG	IBS.SG	F	0	IBS.SG	1131047	0.009605	0.990395
HG01603.SG	IBS.SG	M	0	IBS.SG	1129318	0.000010	0.999990
HG01605.SG	IBS.SG	F	0	IBS.SG	1128720	0.000010	0.999990
HG01606.SG	IBS.SG	M	0	IBS.SG	1131171	0.000010	0.999990
HG01607.SG	IBS.SG	F	0	IBS.SG	1129741	0.000010	0.999990
HG01608.SG	IBS.SG	M	0	IBS.SG	1136443	0.000010	0.999990
HG01610.SG	IBS.SG	M	0	IBS.SG	1132402	0.000010	0.999990
HG01612.SG	IBS.SG	F	0	IBS.SG	1137394	0.000010	0.999990
HG01613.SG	IBS.SG	F	0	IBS.SG	1136701	0.000010	0.999990
HG01615.SG	IBS.SG	M	0	IBS.SG	1126277	0.000010	0.999990
HG01617.SG	IBS.SG	M	0	IBS.SG	1136400	0.000010	0.999990
HG01618.SG	IBS.SG	F	0	IBS.SG	1141105	0.008104	0.991896
HG01619.SG	IBS.SG	M	0	IBS.SG	1141126	0.000010	0.999990
HG01620.SG	IBS.SG	F	0	IBS.SG	1141863	0.000704	0.999296
HG01623.SG	IBS.SG	F	0	IBS.SG	1143514	0.001434	0.998566
HG01624.SG	IBS.SG	M	0	IBS.SG	1141476	0.000010	0.999990
HG01625.SG	IBS.SG	M	0	IBS.SG	1132994	0.000010	0.999990
HG01626.SG	IBS.SG	F	0	IBS.SG	1124294	0.000248	0.999752
HG01631.SG	IBS.SG	M	0	IBS.SG	1146389	0.000010	0.999990
HG01632.SG	IBS.SG	F	0	IBS.SG	1141716	0.000010	0.999990
HG01668.SG	IBS.SG	F	0	IBS.SG	1099407	0.003032	0.996968
HG01669.SG	IBS.SG	M	0	IBS.SG	1014748	0.000010	0.999990
HG01670.SG	IBS.SG	F	0	IBS.SG	1101522	0.000010	0.999990
HG01672.SG	IBS.SG	M	0	IBS.SG	1089383	0.000010	0.999990
HG01673.SG	IBS.SG	F	0	IBS.SG	1137849	0.000010	0.999990
HG01675.SG	IBS.SG	M	0	IBS.SG	1141015	0.000010	0.999990
HG01676.SG	IBS.SG	F	0	IBS.SG	1139617	0.000010	0.999990
HG01678.SG	IBS.SG	M	0	IBS.SG	1140087	0.000010	0.999990
HG01679.SG	IBS.SG	F	0	IBS.SG	1139677	0.000010	0.999990
HG01680.SG	IBS.SG	M	0	IBS.SG	1140314	0.000010	0.999990
HG01682.SG	IBS.SG	M	0	IBS.SG	1128202	0.000010	0.999990
HG01684.SG	IBS.SG	F	0	IBS.SG	1130468	0.000010	0.999990
HG01685.SG	IBS.SG	F	0	IBS.SG	1133628	0.000485	0.999515
HG01686.SG	IBS.SG	M	0	IBS.SG	1130343	0.000010	0.999990
HG01697.SG	IBS.SG	F	0	IBS.SG	1145941	0.003798	0.996202
HG01699.SG	IBS.SG	M	0	IBS.SG	1145835	0.000010	0.999990
HG01700.SG	IBS.SG	M	0	IBS.SG	1143476	0.000010	0.999990
HG01702.SG	IBS.SG	F	0	IBS.SG	1145025	0.000010	0.999990
HG01704.SG	IBS.SG	F	0	IBS.SG	1140324	0.000010	0.999990
HG01705.SG	IBS.SG	M	0	IBS.SG	1141185	0.000010	0.999990
HG01707.SG	IBS.SG	F	0	IBS.SG	1131365	0.000010	0.999990
HG01708.SG	IBS.SG	M	0	IBS.SG	1142797	0.000010	0.999990
HG01709.SG	IBS.SG	M	0	IBS.SG	1142888	0.000010	0.999990
HG01710.SG	IBS.SG	F	0	IBS.SG	1139328	0.000010	0.999990
HG01746.SG	IBS.SG	F	0	IBS.SG	1139495	0.000010	0.999990
HG01747.SG	IBS.SG	M	0	IBS.SG	1142914	0.000010	0.999990
HG01756.SG	IBS.SG	M	0	IBS.SG	1149857	0.000010	0.999990
HG01757.SG	IBS.SG	F	0	IBS.SG	1149841	0.001568	0.998432
HG01761.SG	IBS.SG	M	0	IBS.SG	1149946	0.000010	0.999990
HG01762.SG	IBS.SG	F	0	IBS.SG	1149846	0.000010	0.999990
HG01765.SG	IBS.SG	M	0	IBS.SG	1146872	0.000010	0.999990
HG01766.SG	IBS.SG	F	0	IBS.SG	1147651	0.000010	0.999990
HG01767.SG	IBS.SG	M	0	IBS.SG	1147211	0.000010	0.999990
HG01768.SG	IBS.SG	F	0	IBS.SG	1146771	0.000010	0.999990
HG01770.SG	IBS.SG	F	0	IBS.SG	1149965	0.000010	0.999990
HG01771.SG	IBS.SG	M	0	IBS.SG	1149912	0.000010	0.999990
HG01773.SG	IBS.SG	F	0	IBS.SG	1135400	0.000010	0.999990
HG01775.SG	IBS.SG	M	0	IBS.SG	1136477	0.000010	0.999990
HG01776.SG	IBS.SG	F	0	IBS.SG	1087589	0.001095	0.998905
HG01777.SG	IBS.SG	M	0	IBS.SG	1149104	0.000010	0.999990
HG01779.SG	IBS.SG	F	0	IBS.SG	1147202	0.000010	0.999990
HG01781.SG	IBS.SG	M	0	IBS.SG	1147843	0.000010	0.999990
HG01783.SG	IBS.SG	M	0	IBS.SG	1148732	0.000010	0.999990
HG01784.SG	IBS.SG	F	0	IBS.SG	1149825	0.000010	0.999990
HG01785.SG	IBS.SG	M	0	IBS.SG	1126345	0.000010	0.999990
HG01786.SG	IBS.SG	F	0	IBS.SG	1126480	0.000010	0.999990
HG02219.SG	IBS.SG	M	0	IBS.SG	1142880	0.000010	0.999990
HG02220.SG	IBS.SG	F	0	IBS.SG	1110085	0.000010	0.999990
HG02221.SG	IBS.SG	M	0	IBS.SG	1126752	0.000010	0.999990
HG02223.SG	IBS.SG	F	0	IBS.SG	1078358	0.000010	0.999990
HG02224.SG	IBS.SG	M	0	IBS.SG	1072376	0.000010	0.999990
HG02230.SG	IBS.SG	F	0	IBS.SG	1096052	0.000010	0.999990
HG02231.SG	IBS.SG	M	0	IBS.SG	1121508	0.000010	0.999990
HG02232.SG	IBS.SG	F	0	IBS.SG	1138884	0.000010	0.999990
HG02233.SG	IBS.SG	M	0	IBS.SG	1139789	0.000010	0.999990
HG02235.SG	IBS.SG	F	0	IBS.SG	1130807	0.000010	0.999990
HG02236.SG	IBS.SG	M	0	IBS.SG	1127529	0.000010	0.999990
HG02238.SG	IBS.SG	M	0	IBS.SG	1140755	0.000010	0.999990
HG02239.SG	IBS.SG	F	0	IBS.SG	1139403	0.017666	0.982334
HGDP00854.DG	Mayan.DG	F	0	Mayan.DG	1131558	0.897384	0.102616
HGDP00855.DG	Mayan.DG	F	0	Mayan.DG	1141019	0.974474	0.025526
HGDP00856.DG	Mayan.DG	M	0	Mayan.DG	1137142	0.935570	0.064430
HGDP00857.DG	Mayan.DG	F	0	Mayan.DG	1141412	0.978272	0.021728
HGDP00858.DG	Mayan.DG	F	0	Mayan.DG	1138799	0.924883	0.075117
HGDP00859.DG	Mayan.DG	F	0	Mayan.DG	1140387	0.921932	0.078068
HGDP00861.DG	Mayan.DG	F	0	Mayan.DG	1139616	0.807107	0.192893
HGDP00862.DG	Mayan.DG	F	0	Mayan.DG	1139506	0.884122	0.115878
HGDP00863.DG	Mayan.DG	F	0	Mayan.DG	1139954	0.891468	0.108532
HGDP00864.DG	Mayan.DG	F	0	Mayan.DG	1138487	0.940387	0.059613
HGDP00865.DG	Mayan.DG	F	0	Mayan.DG	1139483	0.945574	0.054426
HGDP00868.DG	Mayan.DG	F	0	Mayan.DG	1138983	0.831908	0.168092
HGDP00869.DG	Mayan.DG	F	0	Mayan.DG	1139629	0.802211	0.197789
HGDP00870.DG	Mayan.DG	F	0	Mayan.DG	1139982	0.929575	0.070425
HGDP00872.DG	Mayan.DG	F	0	Mayan.DG	1139471	0.928654	0.071346
HGDP00873.DG	Mayan.DG	F	0	Mayan.DG	1140213	0.957294	0.042706
HGDP00875.DG	Mayan.DG	F	0	Mayan.DG	1136638	0.889665	0.110335
HGDP00877.DG	Mayan.DG	M	0	Mayan.DG	1137814	0.866250	0.133750
I10859	AncSAm	F	340.0	Mexico_Colonial_Maya	730204	0.999990	0.000010
I10861	AncSAm	M	340.0	Mexico_Colonial_Maya	655865	0.999990	0.000010
I10862	AncSAm	M	340.0	Mexico_Colonial_Maya	554138	0.999990	0.000010
I10863	AncSAm	F	340.0	Mexico_Colonial_Maya	776059	0.999990	0.000010
I8555	AncSAm	F	388.0	Mexico_Colonial_Maya	765245	0.999990	0.000010
I8556	AncSAm	F	340.0	Mexico_Colonial_Maya	39090	0.999990	0.000010
I8557	AncSAm	F	340.0	Mexico_Colonial_Maya	660068	0.999990	0.000010
I8559	AncSAm	M	431.0	Mexico_Colonial_Maya	780852	0.999990	0.000010
BC23_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues_lc.SG	7156	0.862249	0.137751
BC27_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues_lc.SG	8088	0.928339	0.071661
BC28_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues_lc.SG	7325	0.946254	0.053746
B-03_noUDG.SG	AncSAm	M	2700.0	Mexico_Pericues.SG	279130	0.975442	0.024558
BC25_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues.SG	144859	0.944617	0.055383
BC29_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues.SG	38872	0.953512	0.046488
BC30_noUDG.SG	AncSAm	M	500.0	Mexico_Pericues.SG	89608	0.963936	0.036064
F9_noUDG.SG	AncSAm	M	3200.0	Mexico_PreColombian_lc.SG	4964	0.942089	0.057911
PAPV_27_noUDG.SG	AncSAm	M	425.0	Panama_IsthmoColombian_Colonial_oNativeAmerican_lc.SG	10426	0.999990	0.000010
PAPV_137_noUDG.SG	AncSAm	M	990.0	Panama_IsthmoColombian_oEuropean_lc.SG	6171	0.649611	0.350389
PAPV_114_noUDG.SG	AncSAm	M	1316.0	Panama_IsthmoColombian_PreColonial.SG	91889	0.999990	0.000010
PAPV_117_noUDG.SG	AncSAm	M	944.0	Panama_IsthmoColombian_PreColonial.SG	184134	0.999990	0.000010
PAPV_118_noUDG.SG	AncSAm	M	610.0	Panama_IsthmoColombian_PreColonial.SG	103032	0.999990	0.000010
PAPV_146_noUDG.SG	AncSAm	M	1061.0	Panama_IsthmoColombian_PreColonial.SG	266219	0.999990	0.000010
PAPV_167_noUDG.SG	AncSAm	M	1023.0	Panama_IsthmoColombian_PreColonial.SG	53031	0.999990	0.000010
PAPV_172_noUDG.SG	AncSAm	F	763.0	Panama_IsthmoColombian_PreColonial.SG	89048	0.999990	0.000010
PAPV_173_noUDG.SG	AncSAm	M	547.0	Panama_IsthmoColombian_PreColonial.SG	348917	0.999990	0.000010
PAPV_174_noUDG.SG	AncSAm	M	603.0	Panama_IsthmoColombian_PreColonial.SG	132512	0.999990	0.000010
PAPV_175_noUDG.SG	AncSAm	M	1237.0	Panama_IsthmoColombian_PreColonial.SG	100925	0.981352	0.018648
HG01565.SG	PEL.SG	M	0	PEL.SG	1110703	0.667410	0.332590
HG01571.SG	PEL.SG	M	0	PEL.SG	1099295	0.638157	0.361843
HG01572.SG	PEL.SG	F	0	PEL.SG	1123347	0.939736	0.060264
HG01578.SG	PEL.SG	F	0	PEL.SG	1125349	0.588226	0.411774
HG01917.SG	PEL.SG	M	0	PEL.SG	1140544	0.835558	0.164442
HG01918.SG	PEL.SG	F	0	PEL.SG	1138181	0.754868	0.245132
HG01920.SG	PEL.SG	M	0	PEL.SG	1142011	0.968375	0.031625
HG01921.SG	PEL.SG	F	0	PEL.SG	1140949	0.744312	0.255688
HG01923.SG	PEL.SG	M	0	PEL.SG	1141894	0.916729	0.083271
HG01926.SG	PEL.SG	M	0	PEL.SG	1139487	0.997762	0.002238
HG01927.SG	PEL.SG	F	0	PEL.SG	1135431	0.921584	0.078416
HG01932.SG	PEL.SG	M	0	PEL.SG	1134834	0.779303	0.220697
HG01935.SG	PEL.SG	M	0	PEL.SG	1142238	0.717502	0.282498
HG01936.SG	PEL.SG	F	0	PEL.SG	1129656	0.638425	0.361575
HG01938.SG	PEL.SG	M	0	PEL.SG	1138108	0.989808	0.010192
HG01939.SG	PEL.SG	F	0	PEL.SG	1142597	0.751563	0.248437
HG01942.SG	PEL.SG	F	0	PEL.SG	1143444	0.816100	0.183900
HG01945.SG	PEL.SG	F	0	PEL.SG	1139139	0.771008	0.228992
HG01947.SG	PEL.SG	M	0	PEL.SG	1138639	0.594451	0.405549
HG01951.SG	PEL.SG	F	0	PEL.SG	1139640	0.942835	0.057165
HG01953.SG	PEL.SG	M	0	PEL.SG	1149709	0.861998	0.138002
HG01954.SG	PEL.SG	F	0	PEL.SG	1149777	0.884578	0.115422
HG01961.SG	PEL.SG	M	0	PEL.SG	1117486	0.999818	0.000182
HG01967.SG	PEL.SG	M	0	PEL.SG	1149707	0.616250	0.383750
HG01968.SG	PEL.SG	F	0	PEL.SG	1149849	0.947702	0.052298
HG01970.SG	PEL.SG	M	0	PEL.SG	1149687	0.644267	0.355733
HG01973.SG	PEL.SG	F	0	PEL.SG	1149729	0.797205	0.202795
HG01974.SG	PEL.SG	M	0	PEL.SG	1149782	0.941752	0.058248
HG01976.SG	PEL.SG	F	0	PEL.SG	1149844	0.662878	0.337122
HG01977.SG	PEL.SG	M	0	PEL.SG	1149674	0.782284	0.217716
HG01979.SG	PEL.SG	M	0	PEL.SG	1149892	0.689041	0.310959
HG01980.SG	PEL.SG	F	0	PEL.SG	1149894	0.714833	0.285167
HG01982.SG	PEL.SG	M	0	PEL.SG	1140040	0.759616	0.240384
HG01983.SG	PEL.SG	F	0	PEL.SG	1139444	0.686385	0.313615
HG01991.SG	PEL.SG	M	0	PEL.SG	1149917	0.728058	0.271942
HG01992.SG	PEL.SG	F	0	PEL.SG	1149933	0.890612	0.109388
HG01997.SG	PEL.SG	F	0	PEL.SG	1123352	0.858329	0.141671
HG02002.SG	PEL.SG	M	0	PEL.SG	1144844	0.759283	0.240717
HG02003.SG	PEL.SG	F	0	PEL.SG	1146018	0.795600	0.204400
HG02008.SG	PEL.SG	M	0	PEL.SG	1138784	0.816334	0.183666
HG02089.SG	PEL.SG	F	0	PEL.SG	1145518	0.646480	0.353520
HG02102.SG	PEL.SG	F	0	PEL.SG	1147140	0.820439	0.179561
HG02104.SG	PEL.SG	M	0	PEL.SG	1145305	0.881597	0.118403
HG02105.SG	PEL.SG	F	0	PEL.SG	1094363	0.926063	0.073937
HG02146.SG	PEL.SG	M	0	PEL.SG	1127326	0.860429	0.139571
HG02147.SG	PEL.SG	F	0	PEL.SG	1137604	0.897992	0.102008
HG02150.SG	PEL.SG	M	0	PEL.SG	1146979	0.934944	0.065056
HG02252.SG	PEL.SG	F	0	PEL.SG	1140096	0.640767	0.359233
HG02253.SG	PEL.SG	M	0	PEL.SG	1131082	0.535029	0.464971
HG02259.SG	PEL.SG	M	0	PEL.SG	1145442	0.965367	0.034633
HG02260.SG	PEL.SG	F	0	PEL.SG	1148575	0.812307	0.187693
HG02262.SG	PEL.SG	M	0	PEL.SG	1147094	0.763541	0.236459
HG02265.SG	PEL.SG	M	0	PEL.SG	1106959	0.914613	0.085387
HG02266.SG	PEL.SG	F	0	PEL.SG	1096030	0.909182	0.090818
HG02271.SG	PEL.SG	M	0	PEL.SG	1148152	0.957952	0.042048
HG02272.SG	PEL.SG	F	0	PEL.SG	1140923	0.999990	0.000010
HG02275.SG	PEL.SG	F	0	PEL.SG	1138439	0.938680	0.061320
HG02277.SG	PEL.SG	M	0	PEL.SG	1142751	0.659398	0.340602
HG02278.SG	PEL.SG	F	0	PEL.SG	1141923	0.882753	0.117247
HG02285.SG	PEL.SG	M	0	PEL.SG	1136043	0.775229	0.224771
HG02286.SG	PEL.SG	F	0	PEL.SG	1148062	0.730896	0.269104
HG02291.SG	PEL.SG	M	0	PEL.SG	1109389	0.961564	0.038436
HG02292.SG	PEL.SG	F	0	PEL.SG	1126978	0.851850	0.148150
HG02298.SG	PEL.SG	F	0	PEL.SG	1126454	0.595645	0.404355
HG02299.SG	PEL.SG	M	0	PEL.SG	1129320	0.847667	0.152333
HG02301.SG	PEL.SG	F	0	PEL.SG	1146925	0.797650	0.202350
HG02312.SG	PEL.SG	F	0	PEL.SG	1143919	0.602513	0.397487
HG02345.SG	PEL.SG	F	0	PEL.SG	1138622	0.490922	0.509078
HG02348.SG	PEL.SG	F	0	PEL.SG	1144122	0.816053	0.183947
I2543	AncSAm	M	945.0	Peru_Campanayuq_MH_1000BP_lc	10689	0.999990	0.000010
I2236	AncSAm	M	650.0	Peru_Chanka_LIP	226533	0.999990	0.000010
I2544	AncSAm	F	675.0	Peru_Chanka_LIP	817330	0.999990	0.000010
I2563	AncSAm	F	650.0	Peru_Chanka_LIP	33753	0.999990	0.000010
UC12-12	AncSAm	U	500.0	Peru_Chincha_LH	840545	0.999990	0.000010
UC12-20	AncSAm	U	500.0	Peru_Chincha_LH	986811	0.999990	0.000010
UC12-24	AncSAm	U	500.0	Peru_Chincha_LH	842672	0.999990	0.000010
UC12-25	AncSAm	U	500.0	Peru_Chincha_LH	985986	0.999990	0.000010
UC8-8168	AncSAm	U	500.0	Peru_Chincha_LH	675756	0.999990	0.000010
UC8-8173	AncSAm	U	500.0	Peru_Chincha_LH	989011	0.999990	0.000010
UC12_12.SG	AncSAm	F	552.0	Peru_Chincha_LH.SG	800959	0.999990	0.000010
UC12_20.SG	AncSAm	M	575.0	Peru_Chincha_LH.SG	950617	0.999990	0.000010
UC12_24.SG	AncSAm	M	506.0	Peru_Chincha_LH.SG	802528	0.999990	0.000010
UC12_25.SG	AncSAm	F	575.0	Peru_Chincha_LH.SG	981786	0.999990	0.000010
UC8_8168.SG	AncSAm	F	467.0	Peru_Chincha_LH.SG	633028	0.999990	0.000010
UC8_8173.SG	AncSAm	M	533.0	Peru_Chincha_LH.SG	843355	0.999990	0.000010
CP8	AncSAm	M	4115.0	Peru_Cuncaicha_4200BP	736047	0.999990	0.000010
CP29	AncSAm	F	9005.0	Peru_Cuncaicha_9000BP	728912	0.999990	0.000010
I2238	AncSAm	F	1550.0	Peru_EIP_Moche	120246	0.999990	0.000010
I2262	AncSAm	M	1550.0	Peru_EIP_Moche	120166	0.999990	0.000010
I0324	AncSAm	M	1095.0	Peru_ElBrujo_EIP_1300BP	48633	0.999990	0.000010
I2237	AncSAm	F	1335.0	Peru_ElBrujo_EIP_1300BP	380374	0.999990	0.000010
I2263	AncSAm	M	1095.0	Peru_ElBrujo_EIP_1300BP	461314	0.999990	0.000010
I2252	AncSAm	M	1025.0	Peru_Highlands_Chinchawas_MH	381262	0.999990	0.000010
I2250	AncSAm	M	700.0	Peru_Highlands_LIP_Chimu	272322	0.999990	0.000010
I2251	AncSAm	F	700.0	Peru_Highlands_LIP_Chimu	676927	0.999990	0.000010
I2264	AncSAm	F	700.0	Peru_Highlands_LIP_Chimu	700280	0.999990	0.000010
I2268	AncSAm	F	4150.0	Peru_HuacaPrieta_LA_4500BP	20234	0.956852	0.043148
K1_noUDG.SG	AncSAm	F	3950.0	Peru_Kaillachuro_Unknown.SG	178215	0.999990	0.000010
I2261	AncSAm	M	4105.0	Peru_LaGalgada_4100BP	923877	0.999990	0.000010
I0237	AncSAm	M	860.0	Peru_Laramate_900BP	407190	0.999990	0.000010
I1357	AncSAm	M	925.0	Peru_Laramate_900BP	707995	0.999990	0.000010
I1484	AncSAm	M	815.0	Peru_Laramate_900BP	706337	0.999990	0.000010
I1485	AncSAm	M	1060.0	Peru_Laramate_900BP	703746	0.999990	0.000010
I1742	AncSAm	F	1125.0	Peru_Laramate_900BP	479998	0.999990	0.000010
I2551	AncSAm	F	825.0	Peru_Laramate_900BP	780707	0.999990	0.000010
I0039	AncSAm	M	3530.0	Peru_Lauricocha_3500BP	620911	0.999990	0.000010
I0040	AncSAm	M	5845.0	Peru_Lauricocha_5800BP	652694	0.999990	0.000010
I0038	AncSAm	M	8625.0	Peru_Lauricocha_8600BP	976979	0.999990	0.000010
I0041	AncSAm	F	8505.0	Peru_Lauricocha_8600BP	584137	0.999990	0.000010
I0238	AncSAm	M	8450.0	Peru_Lauricocha_8600BP	92278	0.999990	0.000010
I2545	AncSAm	M	470.0	Peru_LH_Inca	199545	0.999990	0.000010
I0045	AncSAm	M	1575.0	Peru_Lima_EIP_1450BP	315265	0.999990	0.000010
I0974	AncSAm	M	1500.0	Peru_Lima_EIP_1450BP	39989	0.999990	0.000010
I0975	AncSAm	F	1220.0	Peru_Lima_EIP_1450BP	45449	0.999990	0.000010
I0044	AncSAm	F	615.0	Peru_Lima_LIP_650BP	937889	0.999990	0.000010
I0964	AncSAm	F	540.0	Peru_Lima_LIP_650BP	97212	0.999990	0.000010
