IID	Group	Sex	Date	Pop	NumSNPs	North	Jomon	South
HG02152.SG	CDX.SG	F	0	CDX.SG	1097962	0.023291	0.001697	0.975012
HG02153.SG	CDX.SG	F	0	CDX.SG	1100794	0.075344	0.002515	0.922141
HG02154.SG	CDX.SG	F	0	CDX.SG	1124646	0.076480	0.000010	0.923510
HG02155.SG	CDX.SG	F	0	CDX.SG	1123268	0.082400	0.000010	0.917590
HG02156.SG	CDX.SG	F	0	CDX.SG	1112527	0.030830	0.014491	0.954679
HG02164.SG	CDX.SG	F	0	CDX.SG	1111320	0.102493	0.012857	0.884650
HG02165.SG	CDX.SG	F	0	CDX.SG	1111811	0.114463	0.000010	0.885527
HG02166.SG	CDX.SG	F	0	CDX.SG	1116603	0.052461	0.000010	0.947529
HG02178.SG	CDX.SG	F	0	CDX.SG	1116901	0.034577	0.000010	0.965413
HG02179.SG	CDX.SG	F	0	CDX.SG	1116987	0.081957	0.000010	0.918033
HG02180.SG	CDX.SG	F	0	CDX.SG	1119350	0.092118	0.000010	0.907872
HG02181.SG	CDX.SG	F	0	CDX.SG	1131002	0.051261	0.000010	0.948729
HG02182.SG	CDX.SG	F	0	CDX.SG	1114943	0.079435	0.000010	0.920555
HG02184.SG	CDX.SG	F	0	CDX.SG	1110450	0.070702	0.000010	0.929288
HG02185.SG	CDX.SG	F	0	CDX.SG	1124586	0.092368	0.000872	0.906761
HG02186.SG	CDX.SG	F	0	CDX.SG	1126774	0.102524	0.007503	0.889973
HG02187.SG	CDX.SG	F	0	CDX.SG	1102318	0.050400	0.000010	0.949590
HG02188.SG	CDX.SG	F	0	CDX.SG	1082989	0.043500	0.000010	0.956490
HG02190.SG	CDX.SG	F	0	CDX.SG	1127636	0.089569	0.005670	0.904761
HG02250.SG	CDX.SG	M	0	CDX.SG	1145850	0.078948	0.001391	0.919661
HG02351.SG	CDX.SG	M	0	CDX.SG	1136917	0.076304	0.010625	0.913071
HG02353.SG	CDX.SG	M	0	CDX.SG	1144390	0.030863	0.000010	0.969127
HG02355.SG	CDX.SG	M	0	CDX.SG	1139006	0.088704	0.000010	0.911286
HG02356.SG	CDX.SG	M	0	CDX.SG	1145069	0.046003	0.000010	0.953987
HG02360.SG	CDX.SG	M	0	CDX.SG	1145107	0.109857	0.009538	0.880606
HG02363.SG	CDX.SG	M	0	CDX.SG	1144214	0.033603	0.000010	0.966387
HG02364.SG	CDX.SG	M	0	CDX.SG	1141573	0.036228	0.004053	0.959718
HG02367.SG	CDX.SG	M	0	CDX.SG	1142396	0.050731	0.000010	0.949259
HG02371.SG	CDX.SG	M	0	CDX.SG	1137040	0.000010	0.000010	0.999980
HG02372.SG	CDX.SG	M	0	CDX.SG	1117667	0.000010	0.000010	0.999980
HG02373.SG	CDX.SG	M	0	CDX.SG	1145502	0.006507	0.000010	0.993483
HG02374.SG	CDX.SG	M	0	CDX.SG	1144528	0.082664	0.000010	0.917326
HG02375.SG	CDX.SG	M	0	CDX.SG	1144144	0.000010	0.000010	0.999980
HG02377.SG	CDX.SG	M	0	CDX.SG	1139577	0.130741	0.001733	0.867527
HG02379.SG	CDX.SG	M	0	CDX.SG	1145452	0.041275	0.005744	0.952982
HG02380.SG	CDX.SG	M	0	CDX.SG	1144071	0.053373	0.000010	0.946617
HG02381.SG	CDX.SG	M	0	CDX.SG	1144828	0.024678	0.000010	0.975312
HG02382.SG	CDX.SG	M	0	CDX.SG	1142798	0.068754	0.008155	0.923091
HG02383.SG	CDX.SG	M	0	CDX.SG	1145620	0.024601	0.000306	0.975092
HG02384.SG	CDX.SG	M	0	CDX.SG	1142010	0.040412	0.000010	0.959578
HG02385.SG	CDX.SG	M	0	CDX.SG	1124798	0.020464	0.003295	0.976241
HG02386.SG	CDX.SG	M	0	CDX.SG	1142965	0.104151	0.010364	0.885485
HG02387.SG	CDX.SG	M	0	CDX.SG	1137718	0.130145	0.000010	0.869845
HG02388.SG	CDX.SG	M	0	CDX.SG	1145541	0.000010	0.000010	0.999980
HG02389.SG	CDX.SG	M	0	CDX.SG	1138456	0.071136	0.000010	0.928854
HG02390.SG	CDX.SG	M	0	CDX.SG	1144731	0.053102	0.000010	0.946888
HG02391.SG	CDX.SG	M	0	CDX.SG	1143081	0.068802	0.000010	0.931188
HG02392.SG	CDX.SG	M	0	CDX.SG	1144198	0.072685	0.000010	0.927305
HG02394.SG	CDX.SG	M	0	CDX.SG	1141291	0.063671	0.000277	0.936052
HG02395.SG	CDX.SG	M	0	CDX.SG	1141985	0.067942	0.000010	0.932048
HG02396.SG	CDX.SG	M	0	CDX.SG	1138243	0.049555	0.000010	0.950435
HG02397.SG	CDX.SG	M	0	CDX.SG	1120678	0.082720	0.010472	0.906808
HG02398.SG	CDX.SG	M	0	CDX.SG	1146442	0.088735	0.000010	0.911255
HG02399.SG	CDX.SG	M	0	CDX.SG	1140820	0.060864	0.000010	0.939126
HG02401.SG	CDX.SG	M	0	CDX.SG	1141833	0.091708	0.000786	0.907506
HG02402.SG	CDX.SG	M	0	CDX.SG	1139952	0.052760	0.002363	0.944877
HG02406.SG	CDX.SG	M	0	CDX.SG	1144632	0.080611	0.000583	0.918807
HG02407.SG	CDX.SG	M	0	CDX.SG	1141712	0.085296	0.000010	0.914694
HG02408.SG	CDX.SG	M	0	CDX.SG	1147729	0.018899	0.001539	0.979563
HG02409.SG	CDX.SG	M	0	CDX.SG	1142606	0.065250	0.000010	0.934740
HG02410.SG	CDX.SG	M	0	CDX.SG	1149521	0.044555	0.015978	0.939467
NA18525.SG	CHB.SG	F	0	CHB.SG	1148222	0.564888	0.000010	0.435102
NA18526.SG	CHB.SG	F	0	CHB.SG	1144888	0.483766	0.000010	0.516224
NA18528.SG	CHB.SG	F	0	CHB.SG	1145029	0.718954	0.000010	0.281036
NA18530.SG	CHB.SG	M	0	CHB.SG	1011343	0.750962	0.000010	0.249028
NA18531.SG	CHB.SG	F	0	CHB.SG	1144158	0.700959	0.000010	0.299031
NA18532.SG	CHB.SG	F	0	CHB.SG	1146074	0.591807	0.000010	0.408183
NA18533.SG	CHB.SG	F	0	CHB.SG	1143295	0.472959	0.000010	0.527031
NA18534.SG	CHB.SG	M	0	CHB.SG	1033412	0.685628	0.000010	0.314362
NA18535.SG	CHB.SG	F	0	CHB.SG	1123505	0.695804	0.000010	0.304186
NA18536.SG	CHB.SG	M	0	CHB.SG	1146954	0.505440	0.000010	0.494550
NA18537.SG	CHB.SG	F	0	CHB.SG	1006056	0.639396	0.000010	0.360594
NA18538.SG	CHB.SG	F	0	CHB.SG	1122913	0.728832	0.000010	0.271158
NA18539.SG	CHB.SG	F	0	CHB.SG	1031992	0.813630	0.000010	0.186360
NA18541.SG	CHB.SG	F	0	CHB.SG	1121738	0.703620	0.000010	0.296370
NA18542.SG	CHB.SG	F	0	CHB.SG	1146912	0.694103	0.000010	0.305887
NA18543.SG	CHB.SG	M	0	CHB.SG	1147514	0.438625	0.000010	0.561365
NA18544.SG	CHB.SG	M	0	CHB.SG	1139821	0.692855	0.000010	0.307135
NA18545.SG	CHB.SG	F	0	CHB.SG	1120660	0.467859	0.000010	0.532131
NA18546.SG	CHB.SG	M	0	CHB.SG	1146398	0.709999	0.000010	0.289991
NA18547.SG	CHB.SG	F	0	CHB.SG	1143253	0.689907	0.000010	0.310083
NA18548.SG	CHB.SG	M	0	CHB.SG	1135652	0.698985	0.000010	0.301005
NA18549.SG	CHB.SG	M	0	CHB.SG	1143553	0.490891	0.000010	0.509099
NA18550.SG	CHB.SG	F	0	CHB.SG	1139607	0.303289	0.000010	0.696701
NA18552.SG	CHB.SG	F	0	CHB.SG	1132923	0.562242	0.000010	0.437748
NA18553.SG	CHB.SG	F	0	CHB.SG	1135099	0.693190	0.000051	0.306758
NA18555.SG	CHB.SG	F	0	CHB.SG	1136619	0.529009	0.000572	0.470419
NA18557.SG	CHB.SG	M	0	CHB.SG	1144059	0.728874	0.002901	0.268224
NA18558.SG	CHB.SG	M	0	CHB.SG	1145805	0.698807	0.000010	0.301183
NA18559.SG	CHB.SG	M	0	CHB.SG	1138716	0.606468	0.000010	0.393522
NA18560.SG	CHB.SG	F	0	CHB.SG	1121960	0.502982	0.000010	0.497008
NA18561.SG	CHB.SG	M	0	CHB.SG	1136111	0.688201	0.000010	0.311789
NA18562.SG	CHB.SG	M	0	CHB.SG	1130815	0.694860	0.000010	0.305130
NA18563.SG	CHB.SG	M	0	CHB.SG	1142175	0.739330	0.000010	0.260660
NA18564.SG	CHB.SG	F	0	CHB.SG	1147747	0.713114	0.000010	0.286876
NA18565.SG	CHB.SG	F	0	CHB.SG	1119597	0.474932	0.000010	0.525058
NA18566.SG	CHB.SG	F	0	CHB.SG	1138945	0.705105	0.000010	0.294885
NA18567.SG	CHB.SG	F	0	CHB.SG	1128313	0.697661	0.000010	0.302329
NA18570.SG	CHB.SG	F	0	CHB.SG	1144974	0.513325	0.000010	0.486665
NA18571.SG	CHB.SG	F	0	CHB.SG	1134062	0.466647	0.000543	0.532810
NA18572.SG	CHB.SG	M	0	CHB.SG	1042709	0.742200	0.000010	0.257790
NA18573.SG	CHB.SG	F	0	CHB.SG	1143727	0.483294	0.000010	0.516696
NA18574.SG	CHB.SG	F	0	CHB.SG	1095008	0.778753	0.000010	0.221237
NA18577.SG	CHB.SG	F	0	CHB.SG	1147633	0.612070	0.000010	0.387920
NA18579.SG	CHB.SG	F	0	CHB.SG	1147080	0.690448	0.000010	0.309542
NA18582.SG	CHB.SG	F	0	CHB.SG	1145693	0.493924	0.000010	0.506066
NA18591.SG	CHB.SG	F	0	CHB.SG	1131195	0.496539	0.000010	0.503451
NA18592.SG	CHB.SG	F	0	CHB.SG	1143452	0.688563	0.000010	0.311427
NA18593.SG	CHB.SG	F	0	CHB.SG	1143736	0.641890	0.000010	0.358100
NA18595.SG	CHB.SG	F	0	CHB.SG	1146286	0.712605	0.000010	0.287385
NA18596.SG	CHB.SG	F	0	CHB.SG	1144895	0.716753	0.000010	0.283237
NA18597.SG	CHB.SG	F	0	CHB.SG	1146689	0.680327	0.000010	0.319663
NA18599.SG	CHB.SG	F	0	CHB.SG	1147106	0.715753	0.000010	0.284237
NA18602.SG	CHB.SG	F	0	CHB.SG	1008565	0.720855	0.000010	0.279135
NA18603.SG	CHB.SG	M	0	CHB.SG	1148347	0.545426	0.000010	0.454564
NA18605.SG	CHB.SG	M	0	CHB.SG	1147208	0.680660	0.000010	0.319330
NA18606.SG	CHB.SG	M	0	CHB.SG	1145580	0.462500	0.000010	0.537490
NA18608.SG	CHB.SG	M	0	CHB.SG	1147166	0.711131	0.000010	0.288859
NA18609.SG	CHB.SG	M	0	CHB.SG	994779	0.692978	0.000010	0.307012
NA18610.SG	CHB.SG	F	0	CHB.SG	1136964	0.651229	0.000010	0.348761
NA18611.SG	CHB.SG	M	0	CHB.SG	1067390	0.764615	0.000010	0.235375
NA18612.SG	CHB.SG	M	0	CHB.SG	1144878	0.724334	0.001019	0.274647
NA18613.SG	CHB.SG	M	0	CHB.SG	983074	0.729421	0.000010	0.270569
NA18614.SG	CHB.SG	F	0	CHB.SG	1147603	0.619176	0.000010	0.380814
NA18615.SG	CHB.SG	F	0	CHB.SG	1073318	0.806422	0.000010	0.193568
NA18616.SG	CHB.SG	F	0	CHB.SG	1113693	0.595770	0.000010	0.404220
NA18617.SG	CHB.SG	F	0	CHB.SG	1131791	0.559963	0.000010	0.440027
NA18618.SG	CHB.SG	F	0	CHB.SG	981456	0.770267	0.000010	0.229723
NA18619.SG	CHB.SG	F	0	CHB.SG	1030601	0.744984	0.000010	0.255006
NA18620.SG	CHB.SG	M	0	CHB.SG	1133556	0.717438	0.000010	0.282552
NA18621.SG	CHB.SG	M	0	CHB.SG	1144546	0.735916	0.000010	0.264074
NA18622.SG	CHB.SG	M	0	CHB.SG	1148531	0.610054	0.000010	0.389936
NA18623.SG	CHB.SG	M	0	CHB.SG	1149232	0.715280	0.000010	0.284710
NA18624.SG	CHB.SG	M	0	CHB.SG	1147293	0.713480	0.000010	0.286510
NA18625.SG	CHB.SG	F	0	CHB.SG	1136557	0.654030	0.000010	0.345960
NA18626.SG	CHB.SG	F	0	CHB.SG	1148432	0.688717	0.002693	0.308589
NA18627.SG	CHB.SG	F	0	CHB.SG	1147428	0.485527	0.000010	0.514463
NA18628.SG	CHB.SG	F	0	CHB.SG	1113218	0.390956	0.000010	0.609034
NA18629.SG	CHB.SG	M	0	CHB.SG	1131030	0.561631	0.000010	0.438359
NA18630.SG	CHB.SG	F	0	CHB.SG	958116	0.520660	0.000010	0.479330
NA18631.SG	CHB.SG	F	0	CHB.SG	1037470	0.698279	0.000010	0.301711
NA18632.SG	CHB.SG	M	0	CHB.SG	1147248	0.506041	0.000010	0.493949
NA18633.SG	CHB.SG	M	0	CHB.SG	1147331	0.641462	0.000010	0.358528
NA18634.SG	CHB.SG	F	0	CHB.SG	1097682	0.546525	0.000010	0.453465
NA18635.SG	CHB.SG	M	0	CHB.SG	1139485	0.737734	0.000010	0.262256
NA18636.SG	CHB.SG	M	0	CHB.SG	1147952	0.410848	0.000010	0.589142
NA18637.SG	CHB.SG	M	0	CHB.SG	1147222	0.544266	0.000010	0.455724
NA18638.SG	CHB.SG	M	0	CHB.SG	1145715	0.527930	0.000010	0.472060
NA18639.SG	CHB.SG	M	0	CHB.SG	1107869	0.450874	0.000010	0.549116
NA18640.SG	CHB.SG	F	0	CHB.SG	1143333	0.665941	0.000010	0.334049
NA18641.SG	CHB.SG	F	0	CHB.SG	1146452	0.624281	0.000010	0.375709
NA18642.SG	CHB.SG	F	0	CHB.SG	1102045	0.685742	0.000010	0.314248
NA18643.SG	CHB.SG	M	0	CHB.SG	1126787	0.687762	0.000010	0.312228
NA18644.SG	CHB.SG	F	0	CHB.SG	1113440	0.550117	0.000010	0.449873
NA18645.SG	CHB.SG	M	0	CHB.SG	1135983	0.529752	0.000010	0.470238
NA18646.SG	CHB.SG	F	0	CHB.SG	1133478	0.690951	0.000010	0.309039
NA18647.SG	CHB.SG	M	0	CHB.SG	1146192	0.682235	0.002454	0.315311
NA18648.SG	CHB.SG	M	0	CHB.SG	1110787	0.678272	0.000010	0.321718
NA18740.SG	CHB.SG	M	0	CHB.SG	1146443	0.388781	0.000010	0.611209
NA18745.SG	CHB.SG	M	0	CHB.SG	1119101	0.687165	0.000010	0.312825
NA18747.SG	CHB.SG	M	0	CHB.SG	1139897	0.538285	0.000010	0.461705
NA18748.SG	CHB.SG	M	0	CHB.SG	1136084	0.511541	0.000010	0.488449
NA18749.SG	CHB.SG	M	0	CHB.SG	1145406	0.683854	0.000010	0.316136
NA18757.SG	CHB.SG	M	0	CHB.SG	1131398	0.692880	0.000010	0.307110
NE45_noUDG	GROUP1	M	9241	China_AmurRiver_EarlyN	109162	0.807825	0.061892	0.130283
NE1_noUDG	GROUP1	F	12650	China_AmurRiver_LPaleolithic	73261	0.796448	0.132217	0.071335
NE34_noUDG	GROUP1	M	14521	China_AmurRiver_LPaleolithic	502532	0.753892	0.130125	0.115984
NE5_noUDG	GROUP1	M	14174	China_AmurRiver_LPaleolithic	454824	0.808234	0.113851	0.077915
NE56_noUDG	GROUP1	M	19427	China_AmurRiver_LPaleolithic	685365	0.549923	0.137463	0.312614
NE36_noUDG	GROUP1	U	10673	China_AmurRiver_Mesolithic_lc	7026	0.915446	0.084544	0.000010
NE57	GROUP1	M	11026	China_AmurRiver_Mesolithic_lc	9729	0.582293	0.105546	0.312161
NE16_noUDG	GROUP1	F	8564	China_AmurRiver_N	177431	0.892291	0.102974	0.004735
NE19_noUDG	GROUP1	M	7039	China_AmurRiver_N	532737	0.853647	0.098179	0.048174
NE2_noUDG	GROUP1	M	6321	China_AmurRiver_N	287639	0.842071	0.116217	0.041712
NE22_noUDG	GROUP1	M	6838	China_AmurRiver_N	147392	0.854039	0.097819	0.048142
NE29_noUDG	GROUP1	F	6877	China_AmurRiver_N	561435	0.896277	0.090624	0.013099
NE39_noUDG	GROUP1	M	8196	China_AmurRiver_N	510532	0.869989	0.073581	0.056430
NE49_noUDG	GROUP1	F	8368	China_AmurRiver_N	156282	0.891587	0.093232	0.015182
NE58	GROUP1	M	7308	China_AmurRiver_N	29523	0.768734	0.089931	0.141336
NE9_noUDG	GROUP1	F	6331	China_AmurRiver_N	594883	0.850152	0.116998	0.032850
NE20_noUDG	GROUP1	F	33592	China_AmurRiver_Paleolithic	942614	0.271900	0.225119	0.502982
MZGM10-1_noUDG	GROUP1	M	5250	China_Miaozigou_MN	199184	0.776874	0.015816	0.207310
MZGM16_noUDG	GROUP1	M	5250	China_Miaozigou_MN	74830	0.813550	0.010212	0.176238
MZGM25-2_noUDG	GROUP1	F	5250	China_Miaozigou_MN	43862	0.813243	0.029372	0.157386
Bianbian_noUDG	GROUP1	M	9709	China_NEastAsia_Coastal_EN	632956	0.730751	0.060407	0.208843
BS	GROUP1	M	9125	China_NEastAsia_Coastal_EN	999618	0.824188	0.048679	0.127133
XJS1309_M4_noUDG	GROUP1	M	7827	China_NEastAsia_Coastal_EN	324644	0.779933	0.092292	0.127774
XJS1311_M16_noUDG	GROUP1	F	7850	China_NEastAsia_Coastal_EN	327720	0.728495	0.110374	0.161132
Xiaogao_noUDG	GROUP1	F	7827	China_NEastAsia_Coastal_EN_o	875108	0.773402	0.121189	0.105410
XJS1309_M7_noUDG	GROUP1	F	7814	China_NEastAsia_Coastal_EN_o_1d.rel.XJS1309_M4	155055	0.815985	0.078715	0.105300
Qihe2_noUDG_d	GROUP2	F	8392	China_SEastAsia_Coastal_EN	257352	0.000010	0.192754	0.807236
L5700_noUDG	GROUP2	F	4477	China_SEastAsia_Coastal_LN	243839	0.010894	0.120055	0.869051
L5701_noUDG_d	GROUP2	M	4325	China_SEastAsia_Coastal_LN	32031	0.007299	0.126000	0.866701
L5704_noUDG_d	GROUP2	M	4505	China_SEastAsia_Coastal_LN	31912	0.000010	0.136535	0.863455
L5705_noUDG	GROUP2	F	4333	China_SEastAsia_Coastal_LN	360919	0.000010	0.134466	0.865524
L5706_noUDG_d	GROUP2	M	4459	China_SEastAsia_Coastal_LN	31736	0.000010	0.128784	0.871206
L7415_noUDG	GROUP2	M	4333	China_SEastAsia_Coastal_LN	261751	0.000010	0.129458	0.870532
L7417_noUDG_d	GROUP2	F	4472	China_SEastAsia_Coastal_LN	95708	0.000010	0.137599	0.862391
L5692_noUDG_d	GROUP2	M	4477	China_SEastAsia_Coastal_LN_lc	10476	0.000010	0.087980	0.912010
L5696_noUDG_d	GROUP2	M	4350	China_SEastAsia_Coastal_LN_lc	13340	0.000010	0.154241	0.845749
L5698_noUDG_d	GROUP2	F	4287	China_SEastAsia_Coastal_LN_lc	13988	0.000010	0.073327	0.926663
L5703_noUDG_d	GROUP2	M	4571	China_SEastAsia_Coastal_LN_lc	12161	0.000010	0.175275	0.824715
LD1	GROUP2	M	8190	China_SEastAsia_Island_EN	830585	0.026491	0.130790	0.842719
LD2	GROUP2	F	7575	China_SEastAsia_Island_EN	743701	0.000010	0.128623	0.871367
SuogangB1_noUDG_d	GROUP2	M	4550	China_SEastAsia_Island_LN	32881	0.000010	0.120377	0.879613
SuogangB3_noUDG_d	GROUP2	M	4550	China_SEastAsia_Island_LN	19753	0.000010	0.138435	0.861555
SM-SGDLM27_noUDG	GROUP1	M	4050	China_Shimao_LN	889593	0.752178	0.018828	0.228994
SM-SGDLM6_noUDG	GROUP1	M	4589	China_Shimao_LN	1069589	0.801935	0.021395	0.176670
SM-SGDLM7X_noUDG	GROUP1	F	4050	China_Shimao_LN	17610	0.731760	0.033934	0.234306
Tianyuan	GROUP1	M	39565	China_Tianyuan	885079	0.275592	0.187878	0.536530
DCZM17IV_noUDG	GROUP1	F	1850	China_Upper_YR_IA	467346	0.619344	0.000232	0.380424
DCZ-M21II_noUDG	GROUP1	M	1763	China_Upper_YR_IA	583643	0.705414	0.020907	0.273679
DCZ-M22IV_noUDG	GROUP1	F	1850	China_Upper_YR_IA	840330	0.699182	0.023621	0.277197
JCKM1-1_noUDG	GROUP1	M	4296	China_Upper_YR_LN	578345	0.810777	0.020992	0.168232
LJM2_noUDG	GROUP1	F	3900	China_Upper_YR_LN	593748	0.789625	0.030408	0.179967
LJM3_noUDG	GROUP1	M	4479	China_Upper_YR_LN	790176	0.837322	0.017559	0.145120
LJM4_noUDG	GROUP1	F	3900	China_Upper_YR_LN	26885	0.716277	0.009983	0.273741
LJM5_noUDG	GROUP1	M	3900	China_Upper_YR_LN_father.or.son.LJM3	567369	0.821957	0.022922	0.155121
LJM14_noUDG	GROUP1	M	3900	China_Upper_YR_LN_o	665999	0.769582	0.055365	0.175053
LJM25_noUDG	GROUP1	M	3900	China_Upper_YR_LN_o	41385	0.777810	0.000010	0.222180
91KLH11_noUDG	GROUP1	F	2650	China_WLR_BA	304491	0.658647	0.049434	0.291919
91KLH18_noUDG	GROUP1	M	2812	China_WLR_BA	335516	0.758168	0.013669	0.228163
EDM139_noUDG	GROUP1	F	3750	China_WLR_LN	414304	0.623079	0.037188	0.339733
EDM176_noUDG	GROUP1	M	3750	China_WLR_LN	788257	0.718165	0.032973	0.248861
EDM124_noUDG	GROUP1	M	3544	China_WLR_LN_o	135182	0.689307	0.025854	0.284839
BLSM27S_noUDG	GROUP1	F	5250	China_WLR_MN	1103573	0.916437	0.062503	0.021060
BLSM41_noUDG	GROUP1	M	5250	China_WLR_MN	35128	0.906843	0.063364	0.029793
BLSM45_noUDG	GROUP1	F	5162	China_WLR_MN_o	691505	0.820591	0.042352	0.137057
S95_noUDG.EC	GROUP1	M	5050	China_Wuzhuangguoliang_LN_1d.rel.S97.EC	21891	0.845547	0.000010	0.154443
18R21265_noUDG.EC	GROUP1	M	5050	China_Wuzhuangguoliang_LN_lc.EC	10765	0.876690	0.000010	0.123300
S91_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN_lc.EC	13853	0.728241	0.052796	0.218964
S94_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN_lc.EC	7577	0.702852	0.042594	0.254554
S96_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN_lc.EC	7168	0.866620	0.133370	0.000010
S120_noUDG.EC	GROUP1	M	5050	China_Wuzhuangguoliang_LN_o_lc.EC	12931	0.724047	0.052961	0.222993
18R21262_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN.EC	25884	0.830422	0.069952	0.099626
18R21266_noUDG.EC	GROUP1	F	4785	China_Wuzhuangguoliang_LN.EC	40692	0.822458	0.023618	0.153924
S118_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN.EC	15792	0.695645	0.047224	0.257131
S123_noUDG.EC	GROUP1	F	5050	China_Wuzhuangguoliang_LN.EC	35326	0.719469	0.051285	0.229246
S97_noUDG.EC	GROUP1	M	5050	China_Wuzhuangguoliang_LN.EC	31238	0.811650	0.022406	0.165945
HJTM115_noUDG	GROUP1	F	2225	China_YR_LBIA	835947	0.610533	0.026536	0.362931
JXNTM2_noUDG	GROUP1	M	3250	China_YR_LBIA	822949	0.679034	0.010783	0.310182
JXNTM23_noUDG	GROUP1	F	3332	China_YR_LBIA	722024	0.677505	0.026691	0.295804
LGM41_noUDG	GROUP1	M	2100	China_YR_LBIA	741410	0.661555	0.027331	0.311114
LGM79_noUDG	GROUP1	F	2250	China_YR_LBIA	782279	0.650409	0.025265	0.324325
HJTW13_noUDG	GROUP1	M	2131	China_YR_LBIA_o	24841	0.624734	0.023437	0.351828
HJTM107_noUDG	GROUP1	M	3993	China_YR_LN	590453	0.642431	0.033102	0.324467
HJTM109_noUDG	GROUP1	M	3908	China_YR_LN	451702	0.596792	0.026293	0.376914
PLTM310_noUDG	GROUP1	F	4088	China_YR_LN	919440	0.641856	0.039160	0.318984
PLTM311_noUDG	GROUP1	M	4049	China_YR_LN	1019135	0.670864	0.029317	0.299820
